POLYID,DRAWORD,POINT_X,POINT_Y
25, 1948, 475788.009381, 4975066.43905
25, 1949, 475796.179515, 4975061.3316
25, 1950, 475805.372246, 4975058.26879
25, 1951, 475871.756344, 4975064.3965
25, 1952, 475930.990351, 4975067.46135
25, 1953, 475983.076394, 4975068.48161
25, 1954, 476033.120223, 4975062.35394
25, 1955, 476087.248906, 4975052.13904
25, 1956, 476132.187412, 4975041.92643
25, 1957, 476188.358735, 4975026.60621
25, 1958, 476223.082338, 4975014.34867
25, 1959, 476283.338516, 4974988.81354
25, 1960, 476336.445028, 4974963.28054
25, 1961, 476384.446217, 4974934.6806
25, 1962, 476402.831254, 4974920.38255
25, 1963, 476346.657803, 4974920.38255
25, 1964, 476292.52912, 4974956.13045
25, 1965, 476168.95323, 4975004.13589
25, 1966, 476060.695863, 4975026.60621
25, 1967, 475920.777576, 4975035.79851
25, 1968, 475836.010569, 4975035.79851
25, 1969, 475747.158283, 4975009.24122
25, 1970, 475688.944319, 4974974.51548
25, 1971, 475653.198545, 4974951.023
25, 1972, 475630.730356, 4974920.38255
25, 1973, 475550.048204, 4974920.38255
